Time,UAV_X,UAV_Y,UAV_Z,UAV_quat_0,UAV_quat_1,UAV_quat_2,UAV_quat_3,UAV_v_bx,UAV_v_by,UAV_v_bz,UAV_w_bx,UAV_w_by,UAV_w_bz,UAV_v_wx,UAV_v_wy,UAV_v_wz,UAV_a_wx,UAV_a_wy,UAV_a_wz,Payload_X,Payload_Y,Payload_Z,Target_X,Target_Y,Target_Z,Pos_Error_m,Swing_Mag_Deg,Tilt_Deg_X,Tilt_Deg_Y,True_Mass,Pred_Mass,Mass_Err,True_Len,Pred_Len,Len_Err,Policy_a0,Policy_a1,Policy_a2,Policy_a3,Env_raw_a0,Env_raw_a1,Env_raw_a2,Env_raw_a3,Env_clamp_a0,Env_clamp_a1,Env_clamp_a2,Env_clamp_a3,Thrust_Cmd,Moment_Cmd_X,Moment_Cmd_Y,Moment_Cmd_Z
0.0,10.773347,-10.585114,1.6678996,0.9999896,0.0026794835,-0.0033434886,-0.0015166064,-0.00020757459,-8.23934e-05,-0.16369466,0.42865956,-0.535062,-0.24268441,0.0008881241,0.00079380657,-0.16369048,0.0,0.0,0.0,10.773335,-10.585123,1.2036886,7.4977846,-11.780048,1.6687185,3.5175748,0.0,0.0,0.0,0.1746121346950531,0.6296965479850769,0.4550844132900238,0.32842397689819336,0.32452985644340515,0.003894120454788208,-4.174847,8.131364,-10.747375,-1.8361263,-4.174847,8.131364,-10.747375,-1.8361263,-1.0,1.0,-1.0,-1.0,0.0,0.4,-0.4,-0.4
0.016666666666666666,10.773374,-10.585091,1.6631256,0.9998867,0.008911469,-0.011157626,-0.004761116,-0.0055005797,-0.00429665,-0.3272699,0.8539357,-1.0719532,-0.43818456,0.0017910391,0.0015551724,-0.32733575,0.0541749,0.045681946,-9.818715,10.773338,-10.585122,1.1989156,7.4977846,-11.780048,1.6687185,3.5182118,0.0018386594,0.0014124973,0.001177081,0.1746121346950531,0.5984102487564087,0.4237981140613556,0.32842397689819336,0.33816224336624146,0.009738266468048096,-4.2861714,3.001875,-9.530311,-0.8039244,-4.2861714,3.001875,-9.530311,-0.8039244,-1.0,1.0,-1.0,-0.8039244,0.0,0.4,-0.4,-0.32156977
0.03333333333333333,10.773416,-10.585076,1.6556231,0.99961233,0.013230744,-0.023482943,-0.0069728247,-0.020327847,-0.012382055,-0.49052793,0.41305846,-1.6144819,-0.19685006,0.0026512898,0.000733918,-0.49109736,0.051615037,-0.04927526,-9.825696,10.773338,-10.585125,1.1914144,7.4977846,-11.780048,1.6687185,3.5192206,0.0058357585,0.0043552,0.0038843674,0.1746121346950531,0.7188551425933838,0.5442430078983307,0.32842397689819336,0.6805908679962158,0.35216689109802246,-3.3859463,-2.3546076,-8.541655,1.6330348,-3.3859463,-2.3546076,-8.541655,1.6330348,-1.0,-1.0,-1.0,1.0,0.0,-0.4,-0.4,0.4
0.05,10.773444,-10.585067,1.645851,0.9989598,0.019251307,-0.040269244,-0.009335428,-0.048032496,-0.023853773,-0.61595714,0.8358115,-2.1471858,-0.30077362,0.0015017848,0.0003665901,-0.6182855,-0.0689703,-0.022039672,-7.6312866,10.7733345,-10.585124,1.1814617,7.4977846,-11.780048,1.6687185,3.520581,0.011266823,0.009534356,0.006003113,0.1746121346950531,0.7639638185501099,0.5893516838550568,0.32842397689819336,0.881234884262085,0.5528109073638916,-0.7690219,1.8703164,-5.47606,-0.42185286,-0.7690219,1.8703164,-5.47606,-0.42185286,-0.7690219,1.0,-1.0,-0.42185286,3.8738503456115723,0.4,-0.4,-0.16874115
0.06666666666666667,10.773111,-10.585231,1.6374515,0.99808127,0.023383863,-0.056363426,-0.010487157,-0.07995121,-0.036384556,-0.46112728,0.402571,-1.8593638,-0.061045695,-0.027983563,-0.013472951,-0.46839064,-1.7691208,-0.8303724,8.99369,10.773327,-10.585129,1.1714834,7.4977846,-11.780048,1.6687185,3.5219672,0.015268061,0.013536432,0.0070624864,0.1746121346950531,0.6508151292800903,0.47620299458503723,0.32842397689819336,0.6085854172706604,0.28016144037246704,3.8596604,-3.2372375,0.5002878,1.3902851,3.8596604,-3.2372375,0.5002878,1.3902851,1.0,-1.0,0.5002878,1.0,33.54301452636719,-0.4,0.20011511,0.4
0.08333333333333333,10.772156,-10.585645,1.6315093,0.9972634,0.02577794,-0.06833775,-0.011451907,-0.11002062,-0.047167696,-0.30768734,0.2622156,-1.299322,-0.11168944,-0.067755446,-0.028853925,-0.32183453,-2.386313,-0.9228584,8.793366,10.7733135,-10.585133,1.1638525,7.4977846,-11.780048,1.6687185,3.5230389,0.029432913,-0.026602034,-0.012594767,0.1746121346950531,0.5470314025878906,0.3724192678928375,0.32842397689819336,0.5060102939605713,0.17758631706237793,5.4155045,-0.33729434,3.932793,-0.20263377,5.4155045,-0.33729434,3.932793,-0.20263377,1.0,-0.33729434,1.0,-0.20263377,33.54301452636719,-0.13491774,0.4,-0.08105351
0.1,10.770446,-10.586339,1.6279931,0.9967425,0.025246596,-0.07563825,-0.012072422,-0.13842118,-0.057239335,-0.15473552,-0.1632095,-0.7409246,-0.026125673,-0.11452998,-0.045784704,-0.17654033,-2.806472,-1.0158467,8.717651,10.773281,-10.585149,1.1588875,7.4977846,-11.780048,1.6687185,3.523718,0.1562536,-0.14289778,-0.063209265,0.1746121346950531,0.5589076280593872,0.3842954933643341,0.32842397689819336,0.7774139046669006,0.4489899277687073,6.0835605,-1.080877,4.2962527,0.35471952,6.0835605,-1.080877,4.2962527,0.35471952,1.0,-1.0,1.0,0.35471952,33.54301452636719,-0.4,0.4,0.14188781
0.11666666666666667,10.767904,-10.587293,1.6268941,0.99650556,0.026569465,-0.07831121,-0.011749191,-0.16637635,-0.06572114,-0.0021447884,0.2752818,-0.1781684,0.054165564,-0.16521913,-0.060912307,-0.031579874,-3.0413487,-0.90765613,8.697627,10.773212,-10.585177,1.1565868,7.4977846,-11.780048,1.6687185,3.523978,0.37953055,-0.34994838,-0.14689986,0.1746121346950531,0.5107942819595337,0.3361821472644806,0.32842397689819336,0.7400275468826294,0.41160356998443604,5.6418324,2.6524596,3.8958206,0.32935038,5.6418324,2.6524596,3.8958206,0.32935038,1.0,1.0,1.0,0.32935038,33.54301452636719,0.4,0.4,0.13174015
0.13333333333333333,10.764506,-10.588524,1.6282064,0.99666977,0.026238298,-0.07631261,-0.011709974,-0.19494899,-0.07613288,0.14862587,-0.14864387,0.3800651,-0.015823368,-0.21679696,-0.078183755,0.11303693,-3.09467,-1.0362868,8.677009,10.773086,-10.585227,1.156923,7.4977846,-11.780048,1.6687185,3.5237947,0.70527947,-0.6551776,-0.26107746,0.1746121346950531,0.4921721816062927,0.3175600469112396,0.32842397689819336,0.54591304063797,0.2174890637397766,2.9364228,-3.2226481,1.9546318,-0.28669453,2.9364228,-3.2226481,1.9546318,-0.28669453,1.0,-1.0,1.0,-0.28669453,33.54301452636719,-0.4,0.4,-0.11467781
0.15,10.760881,-10.589834,1.6281549,0.99669105,0.025140533,-0.076506615,-0.011022942,-0.21939957,-0.08478019,-0.0042320266,-0.117005184,-0.15680757,0.12914783,-0.21766682,-0.078782625,-0.041907214,-0.052191313,-0.03593221,-9.296649,10.772904,-10.585298,1.1575825,7.4977846,-11.780048,1.6687185,3.5235066,1.1344538,-1.0589623,-0.4069203,0.1746121346950531,0.4698319137096405,0.2952197790145874,0.32842397689819336,0.43382585048675537,0.10540187358856201,-0.9269612,0.07754789,-1.1275277,0.5958022,-0.9269612,0.07754789,-1.1275277,0.5958022,-0.9269612,0.07754789,-1.0,0.5958022,1.224971055984497,0.031019157,-0.4,0.23832087
