0.15771,0.499539591,0.1262939,0.993429469,0.132338063,0.407961479,0.096802183,-0.149057346,0.09073054,0.083678674
0.39333,0.499516536,0.362016244,0.981883572,0.275383246,0.448131578,0.36400043,0.327931188,0.269447643,-0.487218975
0.62868,0.484307339,0.617382116,0.961275489,0.371540379,0.497004891,0.482067328,1.11793328,0.310690051,-1.202860076
0.78268,0.44529938,0.813313722,0.937373004,0.411488835,0.535990327,0.525721186,1.632132647,0.373535626,-1.898078001
0.88309,0.384497618,0.940845555,0.897517973,0.46678173,0.576185726,0.550167347,2.260805358,0.377899902,-2.602322016
0.97402,0.323916002,1.085850511,0.849801442,0.52178361,0.614032365,0.62350583,3.029545046,0.402339847,-3.20132963
1.0123,0.268738175,1.140614288,0.800591024,0.575912445,0.657254191,0.70417816,3.922064853,0.457329725,-3.842774859
1.09521,0.220078335,1.252522876,0.756604331,0.650121331,0.711643848,0.751848174,4.79178306,0.457329725,-4.415253399
1.13363,0.172171661,1.318001305,0.713374345,0.710361485,0.763005218,0.871728386,5.484600934,0.475659684,-5.015579835
1.17203,0.123495182,1.375622322,0.665284342,0.786316463,0.798772191,0.970196838,6.084367319,0.493989643,-5.598413871
1.21156,0.070788246,1.430624202,0.619852581,0.830550779,0.835874514,1.129017512,4.654508115,0.530649562,-6.291787148
1.28441,0.01901963,1.512055557,0.571235324,0.91421766,0.878608105,1.173544448,3.903244484,0.56730948,-6.959716935
1.36641,-0.044201537,1.56158106,0.521497651,1.001522232,0.922978744,1.224881386,3.374826431,0.555089507,-7.553385664
1.44297,-0.098690284,1.645393449,0.47372986,1.130920079,0.960884801,1.136875207,5.540978518,0.640629317,-8.221366327
1.50504,-0.141210633,1.729205837,0.423626038,1.226331504,1.005222444,1.376892059,2.524948579,0.636046827,-8.812392642
1.61374,-0.187409617,1.796497515,0.366501733,1.375996484,1.041005341,1.378892199,1.811288083,0.713949154,-9.374109869
1.7872,-0.214185294,1.884389714,0.321887892,1.573367177,1.064667349,1.444896833,1.312910234,0.746026583,-9.838197831
2.03006,-0.20886495,1.936408688,0.278657906,1.831352186,1.090356485,1.476676842,0.48879523,0.966902591,-7.011019834
2.26569,-0.208048218,1.978738177,0.234451524,2.070618069,1.109632653,1.61690891,-0.036529965,0.952238624,-7.765828126
2.49146,-0.235783318,2.110290293,0.185753714,2.284462914,1.136387912,1.598907646,-0.778322307,0.933908665,-8.334047005
2.67297,-0.271408095,2.198686172,0.137321362,2.528042669,1.163467296,1.664912281,-1.270185412,1.007228502,-5.269242844
2.87279,-0.297125164,2.268748091,0.094245769,2.771622424,1.176499126,1.770030772,-1.993321898,0.970568583,-6.095057987
2.98222,-0.332941385,2.35256048,0.059017359,3.007344768,1.181220573,1.705248446,0.939941191,0.897248746,-6.451190541
3.17359,-0.364697558,2.509708709,0.020217775,3.243067111,1.178714983,1.897761963,-2.594306951,0.952238624,-8.947890295
3.3616,-0.412943788,2.664237801,-0.010633935,3.478789455,1.174854323,1.778586929,-0.077987421,0.943073644,-9.464701659
3.55552,-0.457434044,2.902579282,-0.01455417,3.714511799,1.170993663,1.870260032,-0.82718288,1.04388842,-3.620754838
3.77938,-0.474409171,3.154968862,-0.004570508,3.950234142,1.167133003,1.919152353,-1.239783278,1.025558461,-4.431747023
4.01479,-0.48618924,3.380186645,0.014128934,4.185956486,1.166434172,1.985506218,-3.379566166,1.098878298,-0.853832468
4.25023,-0.496569663,3.601888901,0.044947475,4.42167883,1.17025224,2.04627239,-2.051954586,1.111971126,-1.6671291
4.48561,-0.510029305,3.845468656,0.051767609,4.657401173,1.173844462,2.106943316,-3.960182071,1.080548339,-2.227761884
4.72106,-0.519010084,4.085953068,0.028163207,4.893123517,1.177436685,2.169725502,-2.808750579,1.080548339,-2.714368642
4.95665,-0.520712712,4.285109535,-0.000725944,5.128845861,1.177867078,2.29562323,-4.494983256,1.1428702,1.270653211
5.19224,-0.522695269,4.49651132,-0.022993031,5.364568205,1.177845782,2.42029865,-3.498227559,1.135538216,0.513716996
5.42778,-0.527197186,4.686502697,-0.040868074,5.600290548,1.177824486,2.477921744,-4.210195914,1.135538216,-0.016355726
5.66333,-0.530859316,4.919314889,-0.051339934,5.836012892,1.17780319,2.566975615,-4.410291595,1.215908038,3.476332108
5.89891,-0.532841873,5.155037232,-0.053219498,6.071735236,1.175975134,2.731987201,-3.191103954,1.172198135,2.576986907
6.13448,-0.535664217,5.390759576,-0.043284657,6.307457579,1.173921234,2.640314098,-3.905399004,1.141648203,1.944906984
6.37004,-0.539046418,5.62648192,-0.030933233,6.543179923,1.173674093,2.841994924,-2.329645512,1.269957917,4.393709406
6.60562,-0.541028975,5.862204263,-0.019387336,6.778902267,1.173652796,2.961169958,-1.657812628,1.308654498,5.641106933
6.84129,-0.538252741,6.097926607,-0.008378457,7.01462461,1.173857345,3.080344992,-0.888258597,1.276067904,4.97678304
7.07695,-0.536036364,6.333648951,-0.004350819,7.250346954,1.176772033,3.204103682,-0.200138855,1.424235074,8.311448829
7.31257,-0.536059419,6.569371294,-0.008378457,7.486069298,1.177654116,3.304944095,0.512411174,1.355497727,7.542252337
7.54819,-0.536082474,6.805093638,-0.015359697,7.721791641,1.177858665,3.373698922,1.113279892,1.355497727,7.012179616
7.78384,-0.534146026,7.040815982,-0.027711122,7.957513985,1.180547508,3.479122991,1.778714367,1.318837809,6.492746506
8.01956,-0.528290574,7.276538326,-0.039257019,8.193236329,1.181655436,3.630383611,2.446475537,1.507136481,9.016660438
