Time,UAV_X,UAV_Y,UAV_Z,UAV_quat_0,UAV_quat_1,UAV_quat_2,UAV_quat_3,UAV_v_bx,UAV_v_by,UAV_v_bz,UAV_w_bx,UAV_w_by,UAV_w_bz,Payload_X,Payload_Y,Payload_Z,Swing_Deg_X,Swing_Deg_Y,SwingVel_DegS_X,SwingVel_DegS_Y,Policy_a0,Policy_a1,Policy_a2,Policy_a3,Env_raw_a0,Env_raw_a1,Env_raw_a2,Env_raw_a3,Env_clamp_a0,Env_clamp_a1,Env_clamp_a2,Env_clamp_a3,Thrust_Cmd,Moment_Cmd_X,Moment_Cmd_Y,Moment_Cmd_Z
0.18333333333333332,21.472668,-14.01189,1.2015429,0.9843439,0.018048864,-0.09249081,0.14895202,-0.31908485,-0.041931357,0.24507983,-0.64068955,1.289429,2.8968172,21.499756,-13.999593,0.4020962,-1.9404179,-0.8807876,-23.189754,-10.959402,-507.23212,-422.32623,1852.3136,1169.7856,-507.23212,-422.32623,1852.3136,1169.7856,-1.0,-1.0,1.0,1.0,0.0,-0.4,0.4,0.4
0.2,21.46715,-14.014357,1.2025102,0.9814478,0.010568086,-0.07964743,0.17408241,-0.35444734,-0.025381062,0.07472916,-0.279178,1.8008959,3.1383483,21.499641,-13.999496,0.40330863,-2.3276858,-1.0643413,-23.236074,-11.013221,-205.16711,301.26257,338.39636,1295.7957,-205.16711,301.26257,338.39636,1295.7957,-1.0,1.0,1.0,1.0,0.0,0.4,0.4,0.4
0.21666666666666667,21.46105,-14.0170145,1.2045854,0.97716576,0.00092839444,-0.06941822,0.20081636,-0.38508743,-0.0057194596,0.21467228,-0.7890001,1.2650377,3.3798277,21.499363,-13.99946,0.4056964,-2.7450101,-1.2573339,-25.039457,-11.579554,219.36943,-772.5179,-447.37805,1449.1451,219.36943,-772.5179,-447.37805,1449.1451,1.0,-1.0,-1.0,1.0,33.524375915527344,-0.4,-0.4,0.4
0.23333333333333334,21.45424,-14.01982,1.2090588,0.97124434,-0.0066763004,-0.06335354,0.22940393,-0.41063088,0.021282911,0.35748875,-0.41355556,0.7084702,3.6216795,21.498838,-13.999512,0.41056097,-3.1957264,-1.454645,-27.042974,-11.838669,178.23679,653.1736,-368.92444,979.4669,178.23679,653.1736,-368.92444,979.4669,1.0,1.0,-1.0,1.0,33.524375915527344,0.4,-0.4,0.4
0.25,21.446756,-14.022708,1.2159424,0.9640306,-0.011824957,-0.054330938,0.25990984,-0.43715262,0.05576084,0.4982527,-0.030119643,1.249158,3.8634572,21.498024,-13.999677,0.41791916,-3.674291,-1.6497186,-28.71387,-11.704415,124.654755,715.9575,103.05882,490.7624,124.654755,715.9575,103.05882,490.7624,1.0,1.0,1.0,1.0,33.524375915527344,0.4,0.4,0.4
0.26666666666666666,21.439121,-14.0256,1.2213831,0.95510745,-0.013545932,-0.046583414,0.2922603,-0.4516257,0.09623783,0.32872024,0.33040005,0.7114745,4.1041965,21.49713,-13.999858,0.42390448,-4.15818,-1.8439913,-29.03336,-11.656358,-51.729355,176.79277,-462.98993,761.4708,-51.729355,176.79277,-462.98993,761.4708,-1.0,1.0,-1.0,1.0,0.0,0.4,-0.4,0.4
0.2833333333333333,21.43113,-14.028488,1.2279586,0.9451762,-0.015990134,-0.043486238,0.32325724,-0.45813334,0.1347121,0.4736396,-0.12895623,0.2090739,3.8589585,21.495947,-14.000162,0.43109226,-4.6473002,-2.029127,-29.347198,-11.108135,519.3817,-31.498693,-113.5273,-1378.0543,519.3817,-31.498693,-113.5273,-1378.0543,1.0,-1.0,-1.0,-1.0,33.524375915527344,-0.4,-0.4,-0.4
0.3,21.422647,-14.031356,1.2369635,0.9350731,-0.017599415,-0.037550747,0.35202062,-0.46642217,0.17588772,0.6163065,0.28117093,0.7674292,3.6139662,21.494349,-14.000668,0.4407745,-5.14211,-2.198426,-29.688576,-10.157947,539.72144,802.0813,425.30093,-3626.0344,539.72144,802.0813,425.30093,-3626.0344,1.0,1.0,1.0,-1.0,33.524375915527344,0.4,0.4,-0.4
0.31666666666666665,21.41374,-14.034172,1.2484002,0.9236665,-0.015402774,-0.032223444,0.3815293,-0.46589768,0.2229026,0.75867903,0.6798485,0.26616248,3.8536744,21.49229,-14.001385,0.4529413,-5.634833,-2.348877,-29.563377,-9.027056,394.56564,213.38057,-368.517,682.9652,394.56564,213.38057,-368.517,682.9652,1.0,1.0,-1.0,1.0,33.524375915527344,0.4,-0.4,0.4
0.3333333333333333,21.404469,-14.036962,1.2622765,0.91178167,-0.016034476,-0.025129333,0.409592,-0.46867365,0.26441446,0.89929396,0.22892112,0.86787784,3.6094425,21.48972,-14.002316,0.46758658,-6.1172585,-2.4820476,-28.94554,-7.990236,439.13647,-229.05077,196.39261,-1179.8385,439.13647,-229.05077,196.39261,-1179.8385,1.0,-1.0,1.0,-1.0,33.524375915527344,-0.4,0.4,-0.4
